City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amga,60.8953,131.9608,-5.88,97,100,0.75,RU,1681935785
1,howrah,22.5892,88.3103,30.0,84,40,3.6,IN,1681935786
2,guilin,25.2819,110.2864,19.06,90,0,1.07,CN,1681935786
3,tazovsky,67.4667,78.7,-11.2,98,99,2.02,RU,1681935487
4,grytviken,-54.2811,-36.5092,3.33,95,100,1.85,GS,1681935482
5,hobyo,5.3505,48.5268,28.81,69,100,5.78,SO,1681935695
6,quatre cocos,-20.2078,57.7625,26.16,83,40,6.03,MU,1681935788
7,adamstown,-25.066,-130.1015,24.9,75,70,3.55,PN,1681935475
8,viqueque,-8.8673,126.3658,23.48,89,79,1.73,TL,1681935788
9,puerto natales,-51.7236,-72.4875,12.25,54,40,13.38,CL,1681935371
10,kuanda,56.3161,116.0806,-7.82,81,100,2.5,RU,1681935789
11,edinburgh of the seven seas,-37.0676,-12.3116,18.02,74,100,9.68,SH,1681935479
12,kinablangan,7.6947,126.5503,25.58,83,20,1.48,PH,1681935790
13,longyearbyen,78.2186,15.6401,-8.09,67,20,3.09,SJ,1681935510
14,vorgashor,67.5833,63.95,-7.22,97,100,3.49,RU,1681935478
15,bethel,41.3712,-73.414,15.01,48,20,3.6,US,1681935519
16,vredendal,-31.6683,18.5012,16.45,74,100,1.67,ZA,1681935793
17,broken hill,-31.95,141.4333,10.34,68,1,5.9,AU,1681935671
18,ancud,-41.8697,-73.8203,14.73,87,92,2.58,CL,1681935614
19,geraldton,-28.7667,114.6,17.23,48,42,4.12,AU,1681935794
20,bilibino,68.0546,166.4372,-4.72,87,100,1.1,RU,1681935542
21,waitangi,-43.9535,-176.5597,17.12,92,100,4.47,NZ,1681935502
22,international falls,48.6011,-93.411,5.08,51,100,2.68,US,1681935796
23,hadibu,12.65,54.0333,27.8,73,12,3.14,YE,1681935673
24,atafu village,-8.5421,-172.5159,28.25,72,100,3.21,TK,1681935582
25,aleksandrovsk-sakhalinskiy,50.8975,142.1561,0.09,97,82,2.7,RU,1681935797
26,ryotsu-minato,38.0833,138.4333,11.52,77,1,2.02,JP,1681935797
27,tsiombe,-25.3,45.4833,23.24,90,97,5.6,MG,1681935721
28,berdigestyakh,62.0989,126.6992,-8.38,96,100,3.07,RU,1681935798
29,veraval,20.9,70.3667,27.01,65,2,5.62,IN,1681935799
30,gadzhiyevo,69.2551,33.3362,2.7,93,100,7.49,RU,1681935515
31,kalaoa,19.7286,-155.9817,22.08,92,100,9.39,US,1681935799
32,port-aux-francais,-49.35,70.2167,5.03,68,52,15.6,TF,1681935800
33,jand,33.4299,72.0193,17.57,80,83,5.8,PK,1681935801
34,axim,4.8699,-2.2405,27.21,84,74,2.7,GH,1681935802
35,new norfolk,-42.7826,147.0587,10.72,77,100,0.45,AU,1681935671
36,ushuaia,-54.8,-68.3,9.79,61,75,11.32,AR,1681935523
37,chaman,30.9236,66.4512,15.32,23,0,2.69,PK,1681935803
38,punta arenas,-53.15,-70.9167,10.62,62,13,12.94,CL,1681935241
39,hammerfest,70.6634,23.6821,5.25,93,75,11.83,NO,1681935605
40,iqaluit,63.7506,-68.5145,-8.15,93,100,0.0,CA,1681935537
41,khandyga,62.6667,135.6,-5.18,96,100,1.04,RU,1681935636
42,punta del este,-34.9667,-54.95,16.09,73,75,8.05,UY,1681935805
43,bredasdorp,-34.5322,20.0403,17.01,65,100,1.18,ZA,1681935499
44,albany,42.6001,-73.9662,7.32,65,90,0.45,US,1681935442
45,isafjordur,66.0755,-23.124,7.79,95,100,1.59,IS,1681935476
46,blackmans bay,-43.0167,147.3167,10.07,76,93,3.84,AU,1681935486
47,ribeira grande,38.5167,-28.7,14.22,67,40,4.63,PT,1681935495
48,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,75,75,4.0,RU,1681935275
49,remire-montjoly,4.9167,-52.2667,25.02,94,100,3.09,GF,1681935696
50,caxito,-8.5785,13.6643,25.78,94,99,1.45,AO,1681935808
51,sitka,57.0531,-135.33,9.94,50,20,5.66,US,1681935609
52,klyuchi,52.2667,79.1667,-6.65,84,5,3.61,RU,1681935603
53,beloyarskiy,63.7119,66.6722,-0.92,97,100,2.36,RU,1681935809
54,izhevsk,56.85,53.2333,5.63,72,100,1.16,RU,1681935630
55,urangan,-25.3,152.9,20.33,70,1,6.75,AU,1681935810
56,juan griego,11.0817,-63.9655,35.07,43,5,10.29,VE,1681935811
57,salair,54.2312,85.7972,-7.12,89,100,4.03,RU,1681935811
58,portland,45.5234,-122.6762,9.09,84,75,6.17,US,1681935538
59,udachny,66.4167,112.4,-18.15,100,99,1.79,RU,1681935562
60,lihue,21.9789,-159.3672,26.31,72,0,3.6,US,1681935464
61,bachatskiy,54.2927,86.1285,-6.13,84,100,4.9,RU,1681935813
62,rio grande,-32.035,-52.0986,16.06,53,100,7.89,BR,1681935552
63,puno,-15.8333,-70.0333,13.95,33,41,4.59,PE,1681935814
64,grand falls-windsor,48.9332,-55.6649,3.61,92,100,1.34,CA,1681935814
65,chernogorsk,53.8236,91.2842,-3.24,59,0,4.0,RU,1681935815
66,saipan,15.1355,145.701,26.39,100,0,5.14,MP,1681935524
67,puerto ayora,-0.7393,-90.3518,28.98,80,100,2.06,EC,1681935585
68,la rinconada,37.4873,-5.9826,20.99,46,0,2.57,ES,1681935816
69,lata,40.1629,-8.3327,15.45,82,32,2.06,PT,1681935551
70,kununurra,-15.7667,128.7333,24.99,50,12,5.14,AU,1681935817
71,west island,-12.1568,96.8225,26.98,82,100,10.13,CC,1681935548
72,dalandzadgad,43.5708,104.425,2.6,12,91,3.61,MN,1681935818
73,chonchi,-42.6128,-73.8092,16.18,97,100,0.73,CL,1681935394
74,keflavik,64.0049,-22.5624,9.95,100,100,6.69,IS,1681935270
75,taksimo,56.3444,114.8794,-7.19,72,100,1.95,RU,1681935819
76,happy valley-goose bay,53.3168,-60.3315,7.17,65,75,4.63,CA,1681935546
77,mirny,62.5353,113.9611,-9.32,89,100,3.36,RU,1681935820
78,san patricio,28.017,-97.5169,27.94,64,97,8.41,US,1681935693
79,hamilton,39.1834,-84.5333,27.27,33,0,8.23,US,1681935174
80,horta,38.5333,-28.6333,13.8,73,40,4.63,PT,1681935822
81,aykhal,66.0,111.5,-16.2,100,100,2.43,RU,1681935661
82,port mathurin,-19.6833,63.4167,26.03,77,23,8.55,MU,1681935500
83,nadym,65.5333,72.5167,-15.62,90,74,2.41,RU,1681935823
84,college,64.8569,-147.8028,1.0,52,75,0.0,US,1681935501
85,barra de santo antonio,-9.4047,-35.5072,29.6,78,11,6.89,BR,1681935824
86,kapa'a,22.0752,-159.319,26.72,70,0,3.6,US,1681935476
87,port isabel,26.0734,-97.2086,28.05,71,75,9.77,US,1681935825
88,xinyu,27.8043,114.9334,19.84,95,8,0.31,CN,1681935825
89,jamestown,42.097,-79.2353,14.18,54,0,3.6,US,1681935303
90,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1681935312
91,harnai,30.1005,67.9374,20.28,28,0,3.46,PK,1681935827
